あ	ア	A
い	イ	I
う	ウ	U
え	エ	E
お	オ	O
か	カ	KA
が	ガ	GA
き	キ	KI
ぎ	ギ	GI
く	ク	KU
ぐ	グ	GU
け	ケ	KE
げ	ゲ	GE
こ	コ	KO
ご	ゴ	GO
さ	サ	SA
ざ	ザ	ZA
し	シ	SHI
じ	ジ	JI
す	ス	SU
ず	ズ	ZU
せ	セ	SE
ぜ	ゼ	ZE
そ	ソ	SO
ぞ	ゾ	ZO
た	タ	TA
だ	ダ	DA
ち	チ	CHI
ぢ	ヂ	DZI
つ	ツ	TSU
づ	ヅ	DZU
て	テ	TE
で	デ	DE
と	ト	TO
ど	ド	DO
な	ナ	NA
に	ニ	NI
ぬ	ヌ	NU
ね	ネ	NE
の	ノ	NO
は	ハ	HA
ば	バ	BA
ぱ	パ	PA
ひ	ヒ	HI
び	ビ	BI
ぴ	ピ	PI
ふ	フ	HU
ぶ	ブ	BU
ぷ	プ	PU
へ	ヘ	HE
べ	ベ	BE
ぺ	ペ	PE
ほ	ホ	HO
ぼ	ボ	BO
ぽ	ポ	PO
ま	マ	MA
み	ミ	MI
む	ム	MU
め	メ	ME
も	モ	MO
や	ヤ	YA
ゆ	ユ	YU
よ	ヨ	YO
ら	ラ	RA
り	リ	RI
る	ル	RU
れ	レ	RE
ろ	ロ	RO
わ	ワ	WA
ゐ	ヰ	WI
ゑ	ヱ	WE
を	ヲ	WO
ん	ン	N
N/A	ヴ	VU
